Domain,Base Domain,Scanned Hostname,Scanned Port,STARTTLS SMTP,SSLv2,SSLv3,TLSv1.0,TLSv1.1,TLSv1.2,TLSv1.3,Any Forward Secrecy,All Forward Secrecy,Weakest DH Group Size,Any RC4,All RC4,Any 3DES,Key Type,Key Length,Signature Algorithm,SHA-1 in Served Chain,SHA-1 in Constructed Chain,Not Before,Not After,Highest Served Issuer,Highest Constructed Issuer,Asserts EV,Trusted for EV,EV Trusted OIDs,EV Trusted Browsers,Is Symantec Cert,Symantec Distrust Date,Errors,Local Errors,Local Start Time,Local End Time,Local Duration,Lambda Request ID,Lambda Log Group Name,Lambda Log Stream Name,Lambda Start Time,Lambda End Time,Lambda Memory Limit,Lambda Measured Duration
cpsc.gov,cpsc.gov,cpsc.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,True,False,2017-01-24T21:02:02,2019-04-13T11:47:38,Go Daddy Class 2 Certification Authority,Go Daddy Root Certificate Authority - G2,False,False,,,False,,,,2018-04-28T06:29:50.451093Z,2018-04-28T06:29:54.093944Z,3.642851,8ddae2cd-4aad-11e8-a628-2b9cb27793e0,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]cc3d2abd8567457a9a2fc0796a3cbc85,2018-04-28T06:29:50.460841Z,2018-04-28T06:29:54.08501Z,256,3.624169
crb.gov,crb.gov,crb.gov,443,False,False,False,True,True,True,False,True,False,256,True,False,True,RSA,2048,sha256,False,False,2017-05-26T14:13:45,2020-08-25T14:43:44,Entrust Root Certification Authority,Entrust Root Certification Authority - G2,False,False,,,False,,,,2018-04-28T06:38:15.268446Z,2018-04-28T06:38:19.188676Z,3.920230,babfd8ce-4aae-11e8-a0ca-c722f9ad72cc,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]768329baaf264de5bc173ff89209f0ee,2018-04-28T06:38:15.281637Z,2018-04-28T06:38:19.183702Z,256,3.902065
crimesolutions.gov,crimesolutions.gov,crimesolutions.gov,443,False,False,False,False,False,True,False,True,False,256,False,False,False,RSA,2048,sha256,True,False,2017-11-13T00:00:00,2018-11-14T23:59:59,VeriSign Class 3 Public Primary Certification Authority - G5,VeriSign Class 3 Public Primary Certification Authority - G5,False,False,,,True,SEPTEMBER_2018,,,2018-04-28T06:32:31.812075Z,2018-04-28T06:32:46.616139Z,14.804064,ee089e97-4aad-11e8-b1b1-b15353b0913c,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]ca72691e1f504ad89a43c9cd77acf4c9,2018-04-28T06:32:31.824988Z,2018-04-28T06:32:46.612073Z,256,14.787085
crimevictims.gov,crimevictims.gov,crimevictims.gov,443,False,False,False,False,False,True,False,True,False,256,False,False,False,RSA,2048,sha256,True,False,2017-12-11T00:00:00,2018-12-12T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:32:33.078402Z,2018-04-28T06:32:41.600493Z,8.522091,eec9cbb5-4aad-11e8-b32b-99c28a4af9e3,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]b5b95140a9664c9384cccfce21bb6bd7,2018-04-28T06:32:33.093383Z,2018-04-28T06:32:41.595223Z,256,8.501840
crisisnextdoor.gov,crisisnextdoor.gov,www.crisisnextdoor.gov,443,False,False,False,False,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-03-08T00:00:00,2019-01-23T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:35:16.851037Z,2018-04-28T06:35:21.090681Z,4.239644,50679320-4aae-11e8-b227-67f3b59b1fb3,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]cc3d2abd8567457a9a2fc0796a3cbc85,2018-04-28T06:35:16.861853Z,2018-04-28T06:35:21.082997Z,256,4.221144
crs.gov,crs.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:38:15.452199Z,2018-04-28T06:38:15.491256Z,0.039057,badbc588-4aae-11e8-be39-bb1e0986c78e,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]29b23ee583b84659ada6c135648cc7d6,2018-04-28T06:38:15.485368Z,2018-04-28T06:38:15.485448Z,256,0.000080
crt2014-2024review.gov,crt2014-2024review.gov,crt2014-2024review.gov,443,False,False,False,False,True,True,False,True,True,256,False,False,False,RSA,2048,sha256,False,False,2017-08-15T17:40:26,2020-08-15T18:10:25,Entrust Root Certification Authority - G2,Entrust Root Certification Authority - G2,False,False,,,False,,,,2018-04-28T06:30:52.324482Z,2018-04-28T06:31:01.318199Z,8.993717,b2bc1c56-4aad-11e8-9dea-53aa537d19fe,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]787fba0467564b0899fc5bfbdd7de344,2018-04-28T06:30:52.333299Z,2018-04-28T06:31:01.313883Z,256,8.980584
csb.gov,csb.gov,www.csb.gov,443,False,False,False,False,False,True,False,True,False,521,False,False,False,RSA,2048,sha256,False,False,2018-01-18T00:00:00,2019-01-18T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:29:44.006774Z,2018-04-28T06:29:48.176908Z,4.170134,8a03752f-4aad-11e8-82e4-83a3fdbd874b,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]787fba0467564b0899fc5bfbdd7de344,2018-04-28T06:29:44.015615Z,2018-04-28T06:29:48.148524Z,256,4.132909
csce.gov,csce.gov,www.csce.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-03-20T00:00:00,2019-03-20T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:38:20.145773Z,2018-04-28T06:38:23.963058Z,3.817285,bda8045a-4aae-11e8-aff2-bb51dd5596e0,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]c1d97120766c4d448211278b249ddd54,2018-04-28T06:38:20.156524Z,2018-04-28T06:38:23.959537Z,256,3.803013
csosa.fed.us,csosa.fed.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:29:56.689494Z,2018-04-28T06:29:56.707782Z,0.018288,9192bac9-4aad-11e8-8f7e-f9ad0ebd826f,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]29b23ee583b84659ada6c135648cc7d6,2018-04-28T06:29:56.703778Z,2018-04-28T06:29:56.703855Z,256,0.000077
csosa.gov,csosa.gov,www.csosa.gov,443,False,True,True,True,False,False,False,True,False,256,True,False,True,RSA,2048,sha256,False,False,2017-11-08T00:00:00,2018-11-28T12:00:00,DigiCert High Assurance EV Root CA,DigiCert High Assurance EV Root CA,False,False,,,False,,,,2018-04-28T06:29:56.708953Z,2018-04-28T06:30:00.621536Z,3.912583,9195a138-4aad-11e8-b543-6bd58f91b401,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]1f68abd105ee40f4a563f7f02c52f828,2018-04-28T06:29:56.722506Z,2018-04-28T06:30:00.598398Z,256,3.875892
ctoc.gov,ctoc.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:30:29.093068Z,2018-04-28T06:30:29.110422Z,0.017354,a4e30916-4aad-11e8-9b44-61735c2005b1,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]cc3d2abd8567457a9a2fc0796a3cbc85,2018-04-28T06:30:29.102985Z,2018-04-28T06:30:29.103046Z,256,0.000061
cttso.gov,cttso.gov,cttso.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,,2017-07-20T00:00:00,2020-07-20T23:59:59,Symantec Class 3 Secure Server CA - G4,,False,False,,,False,,,,2018-04-28T06:30:29.111269Z,2018-04-28T06:30:36.472264Z,7.360995,a4e5c7ad-4aad-11e8-9d78-2bb90ab4d95c,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]cc3d2abd8567457a9a2fc0796a3cbc85,2018-04-28T06:30:29.122751Z,2018-04-28T06:30:36.46403Z,256,7.341279
cuidadodesalud.gov,cuidadodesalud.gov,www.cuidadodesalud.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-03-26T00:00:00,2019-03-26T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:31:28.310707Z,2018-04-28T06:31:32.647648Z,4.336941,c82f22e0-4aad-11e8-a3c4-bb782b62ace3,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]f265f99755db447ab9d1d5120c974b2e,2018-04-28T06:31:28.321597Z,2018-04-28T06:31:32.642449Z,256,4.320852
cupcao.gov,cupcao.gov,cupcao.gov,443,False,False,False,False,False,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2017-12-06T00:00:00,2018-11-28T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:33:28.580346Z,2018-04-28T06:33:34.615045Z,6.034699,0fdee1a1-4aae-11e8-9c39-5187f467795b,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]29b23ee583b84659ada6c135648cc7d6,2018-04-28T06:33:28.605595Z,2018-04-28T06:33:34.610637Z,256,6.005042
cwc.gov,cwc.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:33:15.959798Z,2018-04-28T06:33:15.971432Z,0.011634,0858eaff-4aae-11e8-9732-ff839c00b33f,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]b5b95140a9664c9384cccfce21bb6bd7,2018-04-28T06:33:15.968151Z,2018-04-28T06:33:15.968228Z,256,0.000077
cyber.gov,cyber.gov,cyber.gov,443,False,False,False,True,False,True,False,True,True,256,False,False,False,RSA,2048,sha256,False,False,2016-12-08T23:04:32,2019-03-07T23:34:29,Entrust Root Certification Authority,Entrust Root Certification Authority - G2,True,True,2.16.840.1.114028.10.1.2,"Mozilla, Google, Microsoft, Apple",False,,,,2018-04-28T06:35:17.508952Z,2018-04-28T06:35:21.568664Z,4.059712,50cbfa2e-4aae-11e8-bcb7-8580ee02c6c7,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]9d16ffdb9f8c47188a38370854735e19,2018-04-28T06:35:17.522842Z,2018-04-28T06:35:21.565387Z,256,4.042545
cybercareers.gov,cybercareers.gov,www.cybercareers.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2017-11-06T00:00:00,2018-11-23T23:59:59,GeoTrust Global CA,GeoTrust Global CA,False,False,,,True,SEPTEMBER_2018,,,2018-04-28T06:37:05.93405Z,2018-04-28T06:37:10.032874Z,4.098824,916c2a21-4aae-11e8-afc6-2b5fd836bc30,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]cc3d2abd8567457a9a2fc0796a3cbc85,2018-04-28T06:37:05.942876Z,2018-04-28T06:37:10.02541Z,256,4.082534
cybercrime.gov,cybercrime.gov,cybercrime.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,4096,sha256,False,False,2016-06-02T13:53:34,2018-06-02T14:23:33,Entrust Root Certification Authority,Entrust Root Certification Authority - G2,False,False,,,False,,,,2018-04-28T06:32:33.751193Z,2018-04-28T06:32:37.72889Z,3.977697,ef307cd1-4aad-11e8-8f05-09b3663572ba,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]9d16ffdb9f8c47188a38370854735e19,2018-04-28T06:32:33.766051Z,2018-04-28T06:32:37.725644Z,256,3.959593
cybersecurity.gov,cybersecurity.gov,cybersecurity.gov,443,False,False,False,True,False,True,False,True,True,256,False,False,False,RSA,2048,sha256,False,False,2016-12-08T23:04:32,2019-03-07T23:34:29,Entrust Root Certification Authority,Entrust Root Certification Authority - G2,True,True,2.16.840.1.114028.10.1.2,"Mozilla, Google, Microsoft, Apple",False,,,,2018-04-28T06:35:18.517918Z,2018-04-28T06:35:22.898947Z,4.381029,5165f07c-4aae-11e8-a452-8f48fc55146f,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]787fba0467564b0899fc5bfbdd7de344,2018-04-28T06:35:18.535376Z,2018-04-28T06:35:22.894489Z,256,4.359113
data.gov,data.gov,www.data.gov,443,False,False,False,False,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,True,False,2018-04-16T16:20:01,2019-04-21T14:58:58,Go Daddy Class 2 Certification Authority,Go Daddy Root Certificate Authority - G2,False,False,,,False,,,,2018-04-28T06:35:58.312564Z,2018-04-28T06:36:02.170997Z,3.858433,691e2c01-4aae-11e8-9f0d-b9c98215b770,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]9d16ffdb9f8c47188a38370854735e19,2018-04-28T06:35:58.34481Z,2018-04-28T06:36:02.167828Z,256,3.823018
dc3on.gov,dc3on.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:30:29.376899Z,2018-04-28T06:30:29.393013Z,0.016114,a50e5e50-4aad-11e8-89a6-111dbe9065b2,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]9d16ffdb9f8c47188a38370854735e19,2018-04-28T06:30:29.391125Z,2018-04-28T06:30:29.391186Z,256,0.000061
dea.gov,dea.gov,www.dea.gov,443,False,False,False,True,True,True,False,True,True,256,False,False,False,RSA,4096,sha256,False,False,2016-05-23T15:17:18,2018-05-23T15:47:15,Entrust Root Certification Authority,Entrust Root Certification Authority - G2,False,False,,,False,,,,2018-04-28T06:32:34.180629Z,2018-04-28T06:32:37.999666Z,3.819037,ef721a1d-4aad-11e8-addd-471c3b230c4f,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]787fba0467564b0899fc5bfbdd7de344,2018-04-28T06:32:34.194721Z,2018-04-28T06:32:37.994889Z,256,3.800168
deaecom.gov,deaecom.gov,www.deaecom.gov,443,False,False,False,False,False,True,False,False,False,,False,False,False,RSA,2048,sha256,False,,2018-01-18T00:00:00,2019-01-23T12:00:00,DigiCert SHA2 Extended Validation Server CA,,True,True,2.16.840.1.114412.2.1,"Mozilla, Google, Microsoft, Apple",False,,,,2018-04-28T06:32:34.350375Z,2018-04-28T06:32:37.870706Z,3.520331,ef8c58fc-4aad-11e8-a12a-1db286cf21ef,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]29b23ee583b84659ada6c135648cc7d6,2018-04-28T06:32:34.365446Z,2018-04-28T06:32:37.866689Z,256,3.501243
defense.gov,defense.gov,www.defense.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-04-12T00:00:00,2019-07-12T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:30:29.393796Z,2018-04-28T06:30:33.428745Z,4.034949,a510f6ac-4aad-11e8-8059-0b457cd5d444,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]768329baaf264de5bc173ff89209f0ee,2018-04-28T06:30:29.4059Z,2018-04-28T06:30:33.423821Z,256,4.017921
democraticleader.gov,democraticleader.gov,www.democraticleader.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-03-20T00:00:00,2019-03-20T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:38:20.849272Z,2018-04-28T06:38:24.969649Z,4.120377,be1370d5-4aae-11e8-bd2c-8f8b9e754cdf,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]9d16ffdb9f8c47188a38370854735e19,2018-04-28T06:38:20.924678Z,2018-04-28T06:38:24.966466Z,256,4.041788
democraticwhip.gov,democraticwhip.gov,www.democraticwhip.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-03-20T00:00:00,2019-03-20T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:38:21.642126Z,2018-04-28T06:38:25.420596Z,3.778470,be8c7175-4aae-11e8-a406-a5e75fc673f8,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]496bb42d5db9490aae5bfe5db0d15e9b,2018-04-28T06:38:21.65367Z,2018-04-28T06:38:25.400284Z,256,3.746614
democrats.gov,democrats.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:38:22.268271Z,2018-04-28T06:38:22.286128Z,0.017857,beebf62f-4aae-11e8-9732-ff839c00b33f,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]f265f99755db447ab9d1d5120c974b2e,2018-04-28T06:38:22.281556Z,2018-04-28T06:38:22.281643Z,256,0.000087
dems.gov,dems.gov,www.dems.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-03-20T00:00:00,2019-03-20T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:38:22.286991Z,2018-04-28T06:38:24.974789Z,2.687798,beeeb504-4aae-11e8-a4e2-4b93092b55cf,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]a03a9450d7204eefa0339f8c52a0a885,2018-04-28T06:38:22.296025Z,2018-04-28T06:38:24.952818Z,256,2.656793
denali.gov,denali.gov,denali.gov,443,False,False,False,False,True,True,False,True,False,256,False,False,True,RSA,2048,sha256,False,,2017-03-14T00:00:00,2020-03-12T23:59:59,USERTrust RSA Certification Authority,,False,False,,,False,,,,2018-04-28T06:30:00.641545Z,2018-04-28T06:30:12.799336Z,12.157791,93edc1b1-4aad-11e8-8580-b3473d1960d7,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]787fba0467564b0899fc5bfbdd7de344,2018-04-28T06:30:00.650138Z,2018-04-28T06:30:12.795195Z,256,12.145057
devtestfan1.gov,devtestfan1.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:33:15.972238Z,2018-04-28T06:33:15.986877Z,0.014639,085a71fe-4aae-11e8-9ecb-693af5a12922,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]ca72691e1f504ad89a43c9cd77acf4c9,2018-04-28T06:33:15.982848Z,2018-04-28T06:33:15.982949Z,256,0.000101
df.gov,df.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:29:43.673931Z,2018-04-28T06:29:43.689942Z,0.016011,89d0a56d-4aad-11e8-aafd-8385b74c173b,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]f3fbcde3afbc44468f50ce1169776567,2018-04-28T06:29:43.682743Z,2018-04-28T06:29:43.682803Z,256,0.000060
dfafacts.gov,dfafacts.gov,dfafacts.gov,443,False,False,False,True,True,True,False,True,False,521,False,False,True,RSA,4096,sha256,False,False,2017-06-01T00:00:00,2020-05-09T23:59:59,AddTrust External CA Root,USERTrust RSA Certification Authority,False,False,,,False,,,,2018-04-28T06:37:22.46312Z,2018-04-28T06:37:26.759699Z,4.296579,9b4671ce-4aae-11e8-b0d5-77728d49224f,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]c1d97120766c4d448211278b249ddd54,2018-04-28T06:37:22.476893Z,2018-04-28T06:37:26.740069Z,256,4.263176
dhhs.gov,dhhs.gov,dhhs.gov,443,False,False,False,True,True,True,False,True,True,256,False,False,False,RSA,2048,sha256,False,False,2017-07-18T00:00:00,2018-09-27T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:31:28.768914Z,2018-04-28T06:31:34.370241Z,5.601327,c87505df-4aad-11e8-8a98-bbb903fa8f2f,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]9d16ffdb9f8c47188a38370854735e19,2018-04-28T06:31:28.781521Z,2018-04-28T06:31:34.367042Z,256,5.585521
dhs.gov,dhs.gov,www.dhs.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-03-28T00:00:00,2018-08-10T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:32:04.892267Z,2018-04-28T06:32:09.290561Z,4.398294,ddfcf49d-4aad-11e8-9aab-196655338046,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]f3fbcde3afbc44468f50ce1169776567,2018-04-28T06:32:04.902958Z,2018-04-28T06:32:09.246233Z,256,4.343275
diabetescommittee.gov,diabetescommittee.gov,www.diabetescommittee.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2017-05-30T00:00:00,2018-08-29T23:59:59,VeriSign Class 3 Public Primary Certification Authority - G5,VeriSign Class 3 Public Primary Certification Authority - G5,False,False,,,True,SEPTEMBER_2018,,,2018-04-28T06:31:29.23896Z,2018-04-28T06:31:33.299161Z,4.060201,c8bcbcd4-4aad-11e8-b679-d5dea21225de,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]787fba0467564b0899fc5bfbdd7de344,2018-04-28T06:31:29.250663Z,2018-04-28T06:31:33.294333Z,256,4.043670
dietaryguidelines.gov,dietaryguidelines.gov,www.dietaryguidelines.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,,2018-02-21T21:31:01,2019-08-28T22:01:00,Entrust Root Certification Authority - G2,,False,False,,,False,,,,2018-04-28T06:37:33.660381Z,2018-04-28T06:37:39.757857Z,6.097476,a1f2f896-4aae-11e8-acb0-5d634cb23db1,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]b5b95140a9664c9384cccfce21bb6bd7,2018-04-28T06:37:33.6736Z,2018-04-28T06:37:39.735073Z,256,6.061473
digital.gov,digital.gov,digital.gov,443,False,False,False,False,False,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-04-23T18:42:10,2018-07-22T18:42:10,DST Root CA X3,DST Root CA X3,False,False,,,False,,,,2018-04-28T06:35:58.473061Z,2018-04-28T06:36:02.092095Z,3.619034,693695d4-4aae-11e8-8746-0bb1c5a9b76e,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]cc3d2abd8567457a9a2fc0796a3cbc85,2018-04-28T06:35:58.483239Z,2018-04-28T06:36:02.08444Z,256,3.601201
digitaldashboard.gov,digitaldashboard.gov,digitaldashboard.gov,443,False,False,False,False,True,True,False,True,True,256,False,False,False,RSA,2048,sha256,False,False,2017-09-08T00:00:00,2018-09-13T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:35:58.798033Z,2018-04-28T06:36:05.079613Z,6.281580,69682dfd-4aae-11e8-8a59-9d1b2496e578,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]787fba0467564b0899fc5bfbdd7de344,2018-04-28T06:35:58.807342Z,2018-04-28T06:36:05.074931Z,256,6.267589
digitalgov.gov,digitalgov.gov,digitalgov.gov,443,False,False,False,False,False,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-03-31T17:31:24,2018-06-29T17:31:24,DST Root CA X3,DST Root CA X3,False,False,,,False,,,,2018-04-28T06:35:58.932365Z,2018-04-28T06:36:02.30852Z,3.376155,697cc72f-4aae-11e8-a7b7-7b6eaec937ce,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]ca72691e1f504ad89a43c9cd77acf4c9,2018-04-28T06:35:58.945533Z,2018-04-28T06:36:02.292293Z,256,3.346760
digitalliteracy.gov,digitalliteracy.gov,digitalliteracy.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,True,False,2016-12-27T00:00:00,2019-12-22T23:59:59,AddTrust External CA Root,USERTrust RSA Certification Authority,False,False,,,False,,,,2018-04-28T06:30:06.964007Z,2018-04-28T06:30:12.542185Z,5.578178,97b26b1f-4aad-11e8-9641-1df3fb45fd54,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]1f68abd105ee40f4a563f7f02c52f828,2018-04-28T06:30:06.972475Z,2018-04-28T06:30:12.537732Z,256,5.565257
digitalpreservation.gov,digitalpreservation.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:38:15.492191Z,2018-04-28T06:38:15.506282Z,0.014091,bae1e019-4aae-11e8-9c13-01c4313ae3af,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]c1d97120766c4d448211278b249ddd54,2018-04-28T06:38:15.503287Z,2018-04-28T06:38:15.503359Z,256,0.000072
digitizationguidelines.gov,digitizationguidelines.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scan returned nothing.,2018-04-28T06:38:15.507103Z,2018-04-28T06:38:15.519313Z,0.012210,bae429a2-4aae-11e8-856a-7d65cb239a64,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]c1d97120766c4d448211278b249ddd54,2018-04-28T06:38:15.516806Z,2018-04-28T06:38:15.516844Z,256,0.000038
directoasucuenta.gov,directoasucuenta.gov,directoasucuenta.gov,443,False,False,False,True,True,True,False,True,False,256,True,False,True,RSA,2048,sha256,True,False,2015-07-21T18:07:40,2018-07-22T04:06:42,Entrust Root Certification Authority,Entrust Root Certification Authority - G2,False,False,,,False,,,,2018-04-28T06:34:18.190024Z,2018-04-28T06:34:23.406737Z,5.216713,2d709db9-4aae-11e8-9c8b-ffa31d92eed5,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]768329baaf264de5bc173ff89209f0ee,2018-04-28T06:34:18.202728Z,2018-04-28T06:34:23.401523Z,256,5.198795
disability.gov,disability.gov,disability.gov,443,False,False,False,True,True,True,False,False,False,,False,False,True,RSA,2048,sha256,False,,2016-12-14T00:00:00,2017-12-19T12:00:00,DigiCert Global Root CA,,False,False,,,False,,,,2018-04-28T06:33:07.181155Z,2018-04-28T06:33:21.092048Z,13.910893,031d8010-4aae-11e8-af8a-a34a01689f43,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]787fba0467564b0899fc5bfbdd7de344,2018-04-28T06:33:07.193218Z,2018-04-28T06:33:21.088147Z,256,13.894929
disasterassistance.gov,disasterassistance.gov,www.disasterassistance.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2018-03-28T00:00:00,2018-08-10T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:32:05.648992Z,2018-04-28T06:32:10.008627Z,4.359635,de7076ac-4aad-11e8-9663-d708d0b7419e,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]f265f99755db447ab9d1d5120c974b2e,2018-04-28T06:32:05.66154Z,2018-04-28T06:32:10.004068Z,256,4.342528
disasterhousing.gov,disasterhousing.gov,disasterhousing.gov,443,False,False,False,True,True,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2017-12-28T00:00:00,2018-12-28T12:00:00,DigiCert Global Root CA,DigiCert Global Root CA,False,False,,,False,,,,2018-04-28T06:32:15.101581Z,2018-04-28T06:32:37.200799Z,22.099218,e412b9d3-4aad-11e8-9834-0582acbdb95c,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]496bb42d5db9490aae5bfe5db0d15e9b,2018-04-28T06:32:15.109627Z,2018-04-28T06:32:37.192135Z,256,22.082508
distracteddriving.gov,distracteddriving.gov,www.distracteddriving.gov,443,False,False,False,False,False,True,False,True,False,256,False,False,False,RSA,2048,sha256,False,False,2017-10-23T00:00:00,2018-10-23T23:59:59,GeoTrust Global CA,GeoTrust Global CA,False,False,,,True,SEPTEMBER_2018,,,2018-04-28T06:34:46.03116Z,2018-04-28T06:34:49.871Z,3.839840,3e08d027-4aae-11e8-a366-69b56acfc9db,/aws/lambda/task_sslyze,2018/04/28/[$LATEST]f3fbcde3afbc44468f50ce1169776567,2018-04-28T06:34:46.042832Z,2018-04-28T06:34:49.863474Z,256,3.820642
