Domain,Details,Entity,Live?,Redirect?,HTTPS?,Force HTTPS?,HSTS?,HSTS Header
bosquefarmsnm.gov,City,Non-Federal Agency,true,,false,false,false,
boston.gov,City,Non-Federal Agency,true,www.cityofboston.gov,false,false,false,
bouldercolorado.gov,City,Non-Federal Agency,true,,true,true,true,max-age=3600
bourbon-in.gov,City,Non-Federal Agency,true,,false,false,false,
bowersde.gov,City,Non-Federal Agency,true,bowersbeach.delaware.gov,true,false,false,
bowlinggreen-mo.gov,City,Non-Federal Agency,true,,false,false,false,
bowlinggreenky.gov,City,Non-Federal Agency,true,,false,false,false,
bowmar.gov,City,Non-Federal Agency,true,colorado.gov,false,false,false,
boxborough-ma.gov,City,Non-Federal Agency,true,,false,false,false,
boyceva.gov,City,Non-Federal Agency,true,,false,false,false,
boylston-ma.gov,City,Non-Federal Agency,true,,false,false,false,
bozeman-mt.gov,City,Non-Federal Agency,false,,false,false,false,
bradleybeachnj.gov,City,Non-Federal Agency,true,,false,false,false,
branford-ct.gov,City,Non-Federal Agency,true,,true,false,false,
bransonmo.gov,City,Non-Federal Agency,true,,false,false,false,
braswellga.gov,City,Non-Federal Agency,true,,false,false,false,
brawley-ca.gov,City,Non-Federal Agency,true,,false,false,false,
breckenridgetx.gov,City,Non-Federal Agency,true,,false,false,false,
bremenga.gov,City,Non-Federal Agency,true,,false,false,false,
bremertonwa.gov,City,Non-Federal Agency,true,,false,false,false,
brentwood-tn.gov,City,Non-Federal Agency,true,,false,false,false,
brentwoodca.gov,City,Non-Federal Agency,true,,false,false,false,
brentwoodmd.gov,City,Non-Federal Agency,true,,false,false,false,
brentwoodnh.gov,City,Non-Federal Agency,true,,false,false,false,
brewster-ma.gov,City,Non-Federal Agency,true,,false,false,false,
brewstervillage-ny.gov,City,Non-Federal Agency,true,,false,false,false,
bricktownship-nj.gov,City,Non-Federal Agency,true,,false,false,false,
bridgeportct.gov,City,Non-Federal Agency,true,,false,false,false,
bridgeview-il.gov,City,Non-Federal Agency,true,,false,false,false,
